,2/17/2022,2/24/2022,3/3/2022,3/10/2022,3/17/2022,3/24/2022,3/31/2022,4/7/2022,4/14/2022,4/21/2022,4/28/2022,5/5/2022,5/12/2022,5/19/2022,5/26/2022,6/2/2022,6/9/2022,6/16/2022,6/23/2022,6/30/2022
SNOTEL:407_MT_SNTL,7.8,,,,,,,,,,,,,,,,,,,
SNOTEL:409_CO_SNTL,15.1,,,,,,,,,,,,,,,,,,,
SNOTEL:410_MT_SNTL,4,,,,,,,,,,,,,,,,,,,
SNOTEL:411_ID_SNTL,33.3,,,,,,,,,,,,,,,,,,,
SNOTEL:412_CO_SNTL,7.9,,,,,,,,,,,,,,,,,,,
SNOTEL:413_MT_SNTL,5.2,,,,,,,,,,,,,,,,,,,
SNOTEL:414_MT_SNTL,17.9,,,,,,,,,,,,,,,,,,,
SNOTEL:415_CO_SNTL,9.5,,,,,,,,,,,,,,,,,,,
SNOTEL:416_AZ_SNTL,0.2,,,,,,,,,,,,,,,,,,,
SNOTEL:417_NV_SNTL,7.9,,,,,,,,,,,,,,,,,,,
SNOTEL:418_WA_SNTL,23.9,,,,,,,,,,,,,,,,,,,
SNOTEL:419_WY_SNTL,12.8,,,,,,,,,,,,,,,,,,,
SNOTEL:420_WA_SNTL,11.2,,,,,,,,,,,,,,,,,,,
SNOTEL:421_WY_SNTL,,,,,,,,,,,,,,,,,,,,
SNOTEL:422_OR_SNTL,4.1,,,,,,,,,,,,,,,,,,,
SNOTEL:423_ID_SNTL,9.9,,,,,,,,,,,,,,,,,,,
SNOTEL:424_ID_SNTL,7.8,,,,,,,,,,,,,,,,,,,
SNOTEL:426_CO_SNTL,8,,,,,,,,,,,,,,,,,,,
SNOTEL:428_CA_SNTL,25.7,,,,,,,,,,,,,,,,,,,
SNOTEL:430_CO_SNTL,5.5,,,,,,,,,,,,,,,,,,,
SNOTEL:431_CO_SNTL,20.9,,,,,,,,,,,,,,,,,,,
SNOTEL:432_UT_SNTL,9.1,,,,,,,,,,,,,,,,,,,
SNOTEL:433_MT_SNTL,7.8,,,,,,,,,,,,,,,,,,,
SNOTEL:434_OR_SNTL,10.2,,,,,,,,,,,,,,,,,,,
SNOTEL:436_MT_SNTL,20.5,,,,,,,,,,,,,,,,,,,
SNOTEL:437_MT_SNTL,6.1,,,,,,,,,,,,,,,,,,,
SNOTEL:438_CO_SNTL,14.6,,,,,,,,,,,,,,,,,,,
SNOTEL:439_ID_SNTL,26.8,,,,,,,,,,,,,,,,,,,
SNOTEL:441_UT_SNTL,,,,,,,,,,,,,,,,,,,,
SNOTEL:444_UT_SNTL,6.4,,,,,,,,,,,,,,,,,,,
SNOTEL:448_MT_SNTL,5.5,,,,,,,,,,,,,,,,,,,
SNOTEL:449_WY_SNTL,10.8,,,,,,,,,,,,,,,,,,,
SNOTEL:450_ID_SNTL,16.1,,,,,,,,,,,,,,,,,,,
SNOTEL:451_WY_SNTL,6.8,,,,,,,,,,,,,,,,,,,
SNOTEL:452_UT_SNTL,4.2,,,,,,,,,,,,,,,,,,,
SNOTEL:455_UT_SNTL,11.5,,,,,,,,,,,,,,,,,,,
SNOTEL:457_CO_SNTL,13.5,,,,,,,,,,,,,,,,,,,
SNOTEL:458_MT_SNTL,6.4,,,,,,,,,,,,,,,,,,,
SNOTEL:460_WY_SNTL,6.7,,,,,,,,,,,,,,,,,,,
SNOTEL:462_CA_SNTL,17.4,,,,,,,,,,,,,,,,,,,
SNOTEL:463_CA_SNTL,28.2,,,,,,,,,,,,,,,,,,,
SNOTEL:464_OR_SNTL,9.2,,,,,,,,,,,,,,,,,,,
SNOTEL:465_CO_SNTL,8.5,,,,,,,,,,,,,,,,,,,
SNOTEL:466_ID_SNTL,22.6,,,,,,,,,,,,,,,,,,,
SNOTEL:467_CO_SNTL,12.5,,,,,,,,,,,,,,,,,,,
SNOTEL:470_OR_SNTL,4.3,,,,,,,,,,,,,,,,,,,
SNOTEL:472_WY_SNTL,18.7,,,,,,,,,,,,,,,,,,,
SNOTEL:474_UT_SNTL,16.9,,,,,,,,,,,,,,,,,,,
SNOTEL:475_UT_SNTL,12.8,,,,,,,,,,,,,,,,,,,
SNOTEL:476_NV_SNTL,7.7,,,,,,,,,,,,,,,,,,,
SNOTEL:477_OR_SNTL,17.6,,,,,,,,,,,,,,,,,,,
SNOTEL:478_WA_SNTL,21.2,,,,,,,,,,,,,,,,,,,
SNOTEL:480_MT_SNTL,21.1,,,,,,,,,,,,,,,,,,,
SNOTEL:481_UT_SNTL,11,,,,,,,,,,,,,,,,,,,
SNOTEL:482_MT_SNTL,31.7,,,,,,,,,,,,,,,,,,,
SNOTEL:483_OR_SNTL,13.6,,,,,,,,,,,,,,,,,,,
SNOTEL:484_ID_SNTL,17.3,,,,,,,,,,,,,,,,,,,
SNOTEL:485_CO_SNTL,10.5,,,,,,,,,,,,,,,,,,,
SNOTEL:486_NM_SNTL,1.6,,,,,,,,,,,,,,,,,,,
SNOTEL:487_MT_SNTL,5.3,,,,,,,,,,,,,,,,,,,
SNOTEL:488_AZ_SNTL,4.8,,,,,,,,,,,,,,,,,,,
SNOTEL:489_ID_SNTL,11.5,,,,,,,,,,,,,,,,,,,
SNOTEL:490_ID_SNTL,16.4,,,,,,,,,,,,,,,,,,,
SNOTEL:491_NM_SNTL,5.9,,,,,,,,,,,,,,,,,,,
SNOTEL:493_ID_SNTL,5.6,,,,,,,,,,,,,,,,,,,
SNOTEL:494_OR_SNTL,8.6,,,,,,,,,,,,,,,,,,,
SNOTEL:495_UT_SNTL,4.8,,,,,,,,,,,,,,,,,,,
SNOTEL:497_WY_SNTL,8.6,,,,,,,,,,,,,,,,,,,
SNOTEL:498_NV_SNTL,12.6,,,,,,,,,,,,,,,,,,,
SNOTEL:499_WY_SNTL,16.8,,,,,,,,,,,,,,,,,,,
SNOTEL:500_MT_SNTL,10.9,,,,,,,,,,,,,,,,,,,
SNOTEL:503_NV_SNTL,7.6,,,,,,,,,,,,,,,,,,,
SNOTEL:505_CO_SNTL,11.6,,,,,,,,,,,,,,,,,,,
SNOTEL:507_WA_SNTL,8.9,,,,,,,,,,,,,,,,,,,
SNOTEL:508_CA_SNTL,14.2,,,,,,,,,,,,,,,,,,,
SNOTEL:509_WY_SNTL,7,,,,,,,,,,,,,,,,,,,
SNOTEL:510_MT_SNTL,7.9,,,,,,,,,,,,,,,,,,,
SNOTEL:512_WY_SNTL,4.2,,,,,,,,,,,,,,,,,,,
SNOTEL:514_UT_SNTL,7.8,,,,,,,,,,,,,,,,,,,
SNOTEL:519_AZ_SNTL,1.9,,,,,,,,,,,,,,,,,,,
SNOTEL:520_ID_SNTL,34.7,,,,,,,,,,,,,,,,,,,
SNOTEL:521_UT_SNTL,6.1,,,,,,,,,,,,,,,,,,,
SNOTEL:522_UT_SNTL,4.3,,,,,,,,,,,,,,,,,,,
SNOTEL:523_OR_SNTL,17.2,,,,,,,,,,,,,,,,,,,
SNOTEL:524_ID_SNTL,9.8,,,,,,,,,,,,,,,,,,,
SNOTEL:525_WY_SNTL,11,,,,,,,,,,,,,,,,,,,
SNOTEL:526_OR_SNTL,14.6,,,,,,,,,,,,,,,,,,,
SNOTEL:528_UT_SNTL,3.9,,,,,,,,,,,,,,,,,,,
SNOTEL:529_OR_SNTL,20,,,,,,,,,,,,,,,,,,,
SNOTEL:530_MT_SNTL,27.6,,,,,,,,,,,,,,,,,,,
SNOTEL:531_CO_SNTL,9.3,,,,,,,,,,,,,,,,,,,
SNOTEL:532_NM_SNTL,10.3,,,,,,,,,,,,,,,,,,,
SNOTEL:533_UT_SNTL,11.6,,,,,,,,,,,,,,,,,,,
SNOTEL:535_ID_SNTL,15,,,,,,,,,,,,,,,,,,,
SNOTEL:540_CA_SNTL,10.2,,,,,,,,,,,,,,,,,,,
SNOTEL:541_CA_SNTL,33.6,,,,,,,,,,,,,,,,,,,
SNOTEL:542_CO_SNTL,9.7,,,,,,,,,,,,,,,,,,,
SNOTEL:543_UT_SNTL,7.8,,,,,,,,,,,,,,,,,,,
SNOTEL:548_NV_SNTL,5.4,,,,,,,,,,,,,,,,,,,
SNOTEL:549_NV_SNTL,,,,,,,,,,,,,,,,,,,,
SNOTEL:550_ID_SNTL,15.8,,,,,,,,,,,,,,,,,,,
SNOTEL:552_OR_SNTL,9.4,,,,,,,,,,,,,,,,,,,
SNOTEL:553_WA_SNTL,34.6,,,,,,,,,,,,,,,,,,,
SNOTEL:554_WY_SNTL,8.1,,,,,,,,,,,,,,,,,,,
SNOTEL:555_WY_SNTL,7.2,,,,,,,,,,,,,,,,,,,
SNOTEL:556_CO_SNTL,9,,,,,,,,,,,,,,,,,,,
SNOTEL:558_OR_SNTL,2.4,,,,,,,,,,,,,,,,,,,
SNOTEL:559_UT_SNTL,5.5,,,,,,,,,,,,,,,,,,,
SNOTEL:560_WY_SNTL,8.4,,,,,,,,,,,,,,,,,,,
SNOTEL:562_MT_SNTL,9,,,,,,,,,,,,,,,,,,,
SNOTEL:563_OR_SNTL,6.4,,,,,,,,,,,,,,,,,,,
SNOTEL:564_CO_SNTL,7.5,,,,,,,,,,,,,,,,,,,
SNOTEL:565_CO_SNTL,16.6,,,,,,,,,,,,,,,,,,,
SNOTEL:566_UT_SNTL,8.2,,,,,,,,,,,,,,,,,,,
SNOTEL:568_MT_SNTL,3.5,,,,,,,,,,,,,,,,,,,
SNOTEL:569_NV_SNTL,5,,,,,,,,,,,,,,,,,,,
SNOTEL:570_NV_SNTL,7.6,,,,,,,,,,,,,,,,,,,
SNOTEL:571_WY_SNTL,4.4,,,,,,,,,,,,,,,,,,,
SNOTEL:572_UT_SNTL,6.9,,,,,,,,,,,,,,,,,,,
SNOTEL:575_CA_SNTL,8.3,,,,,,,,,,,,,,,,,,,
SNOTEL:576_MT_SNTL,6,,,,,,,,,,,,,,,,,,,
SNOTEL:577_WY_SNTL,18.7,,,,,,,,,,,,,,,,,,,
SNOTEL:579_UT_SNTL,7.4,,,,,,,,,,,,,,,,,,,
SNOTEL:580_CO_SNTL,10,,,,,,,,,,,,,,,,,,,
SNOTEL:582_UT_SNTL,7.8,,,,,,,,,,,,,,,,,,,
SNOTEL:583_UT_SNTL,2.7,,,,,,,,,,,,,,,,,,,
SNOTEL:585_WY_SNTL,8,,,,,,,,,,,,,,,,,,,
SNOTEL:587_CA_SNTL,9.3,,,,,,,,,,,,,,,,,,,
SNOTEL:588_ID_SNTL,21.7,,,,,,,,,,,,,,,,,,,
SNOTEL:589_CO_SNTL,10.1,,,,,,,,,,,,,,,,,,,
SNOTEL:590_MT_SNTL,10.6,,,,,,,,,,,,,,,,,,,
SNOTEL:591_WA_SNTL,25.9,,,,,,,,,,,,,,,,,,,
SNOTEL:592_UT_SNTL,6.6,,,,,,,,,,,,,,,,,,,
SNOTEL:593_UT_SNTL,5.4,,,,,,,,,,,,,,,,,,,
SNOTEL:596_UT_SNTL,14.1,,,,,,,,,,,,,,,,,,,
SNOTEL:597_WY_SNTL,8.9,,,,,,,,,,,,,,,,,,,
SNOTEL:598_WY_SNTL,,,,,,,,,,,,,,,,,,,,
SNOTEL:600_ID_SNTL,34.1,,,,,,,,,,,,,,,,,,,
SNOTEL:603_MT_SNTL,9.6,,,,,,,,,,,,,,,,,,,
SNOTEL:604_MT_SNTL,5.1,,,,,,,,,,,,,,,,,,,
SNOTEL:605_OR_SNTL,7.1,,,,,,,,,,,,,,,,,,,
SNOTEL:606_WA_SNTL,41.1,,,,,,,,,,,,,,,,,,,
SNOTEL:607_CO_SNTL,6.1,,,,,,,,,,,,,,,,,,,
SNOTEL:610_ID_SNTL,13.2,,,,,,,,,,,,,,,,,,,
SNOTEL:611_SD_SNTL,,,,,,,,,,,,,,,,,,,,
SNOTEL:612_UT_SNTL,11.9,,,,,,,,,,,,,,,,,,,
SNOTEL:613_MT_SNTL,11,,,,,,,,,,,,,,,,,,,
SNOTEL:614_OR_SNTL,10.8,,,,,,,,,,,,,,,,,,,
SNOTEL:615_NV_SNTL,15.8,,,,,,,,,,,,,,,,,,,
SNOTEL:616_WY_SNTL,2.9,,,,,,,,,,,,,,,,,,,
SNOTEL:617_AZ_SNTL,5.2,,,,,,,,,,,,,,,,,,,
SNOTEL:619_OR_SNTL,22.7,,,,,,,,,,,,,,,,,,,
SNOTEL:620_ID_SNTL,11.5,,,,,,,,,,,,,,,,,,,
SNOTEL:621_UT_SNTL,9.5,,,,,,,,,,,,,,,,,,,
SNOTEL:622_CO_SNTL,11.8,,,,,,,,,,,,,,,,,,,
SNOTEL:623_ID_SNTL,17.4,,,,,,,,,,,,,,,,,,,
SNOTEL:625_WY_SNTL,5.7,,,,,,,,,,,,,,,,,,,
SNOTEL:626_UT_SNTL,11.7,,,,,,,,,,,,,,,,,,,
SNOTEL:627_ID_SNTL,17.7,,,,,,,,,,,,,,,,,,,
SNOTEL:628_UT_SNTL,12.6,,,,,,,,,,,,,,,,,,,
SNOTEL:629_CO_SNTL,6.3,,,,,,,,,,,,,,,,,,,
SNOTEL:630_WA_SNTL,,,,,,,,,,,,,,,,,,,,
SNOTEL:633_CA_SNTL,11,,,,,,,,,,,,,,,,,,,
SNOTEL:637_ID_SNTL,19,,,,,,,,,,,,,,,,,,,
SNOTEL:640_AZ_SNTL,3.1,,,,,,,,,,,,,,,,,,,
SNOTEL:642_WA_SNTL,36.5,,,,,,,,,,,,,,,,,,,
SNOTEL:643_UT_SNTL,8.6,,,,,,,,,,,,,,,,,,,
SNOTEL:644_WA_SNTL,7,,,,,,,,,,,,,,,,,,,
SNOTEL:645_ID_SNTL,22.2,,,,,,,,,,,,,,,,,,,
SNOTEL:646_MT_SNTL,26,,,,,,,,,,,,,,,,,,,
SNOTEL:647_OR_SNTL,16,,,,,,,,,,,,,,,,,,,
SNOTEL:648_WA_SNTL,20,,,,,,,,,,,,,,,,,,,
SNOTEL:649_MT_SNTL,14.5,,,,,,,,,,,,,,,,,,,
SNOTEL:650_ID_SNTL,15.1,,,,,,,,,,,,,,,,,,,
SNOTEL:651_OR_SNTL,33.8,,,,,,,,,,,,,,,,,,,
SNOTEL:652_NV_SNTL,27,,,,,,,,,,,,,,,,,,,
SNOTEL:654_ID_SNTL,4.9,,,,,,,,,,,,,,,,,,,
SNOTEL:655_OR_SNTL,25.2,,,,,,,,,,,,,,,,,,,
SNOTEL:657_MT_SNTL,7.5,,,,,,,,,,,,,,,,,,,
SNOTEL:658_CO_SNTL,7.2,,,,,,,,,,,,,,,,,,,
SNOTEL:659_MT_SNTL,,,,,,,,,,,,,,,,,,,,
SNOTEL:661_WY_SNTL,6,,,,,,,,,,,,,,,,,,,
SNOTEL:662_MT_SNTL,,,,,,,,,,,,,,,,,,,,
SNOTEL:663_CO_SNTL,9.2,,,,,,,,,,,,,,,,,,,
SNOTEL:664_MT_SNTL,25,,,,,,,,,,,,,,,,,,,
SNOTEL:665_NM_SNTL,2.3,,,,,,,,,,,,,,,,,,,
SNOTEL:666_OR_SNTL,22.9,,,,,,,,,,,,,,,,,,,
SNOTEL:667_MT_SNTL,31.1,,,,,,,,,,,,,,,,,,,
SNOTEL:669_CO_SNTL,14.1,,,,,,,,,,,,,,,,,,,
SNOTEL:670_MT_SNTL,4.4,,,,,,,,,,,,,,,,,,,
SNOTEL:671_OR_SNTL,5.5,,,,,,,,,,,,,,,,,,,
SNOTEL:672_WA_SNTL,32.4,,,,,,,,,,,,,,,,,,,
SNOTEL:673_WY_SNTL,20.8,,,,,,,,,,,,,,,,,,,
SNOTEL:676_WY_SNTL,4.3,,,,,,,,,,,,,,,,,,,
SNOTEL:677_ID_SNTL,6.2,,,,,,,,,,,,,,,,,,,
SNOTEL:678_NM_SNTL,,,,,,,,,,,,,,,,,,,,
SNOTEL:680_CO_SNTL,8.7,,,,,,,,,,,,,,,,,,,
SNOTEL:681_WA_SNTL,30.6,,,,,,,,,,,,,,,,,,,
SNOTEL:682_CO_SNTL,20.6,,,,,,,,,,,,,,,,,,,
SNOTEL:683_WY_SNTL,13.9,,,,,,,,,,,,,,,,,,,
SNOTEL:684_UT_SNTL,10.2,,,,,,,,,,,,,,,,,,,
SNOTEL:685_CO_SNTL,,,,,,,,,,,,,,,,,,,,
SNOTEL:686_UT_SNTL,9.2,,,,,,,,,,,,,,,,,,,
SNOTEL:689_WY_SNTL,14.1,,,,,,,,,,,,,,,,,,,
SNOTEL:690_MT_SNTL,1.2,,,,,,,,,,,,,,,,,,,
SNOTEL:691_UT_SNTL,6.7,,,,,,,,,,,,,,,,,,,
SNOTEL:693_MT_SNTL,1.5,,,,,,,,,,,,,,,,,,,
SNOTEL:694_UT_SNTL,12.2,,,,,,,,,,,,,,,,,,,
SNOTEL:696_MT_SNTL,12.1,,,,,,,,,,,,,,,,,,,
SNOTEL:698_NV_SNTL,11.5,,,,,,,,,,,,,,,,,,,
SNOTEL:699_WA_SNTL,12.5,,,,,,,,,,,,,,,,,,,
SNOTEL:700_MT_SNTL,3.4,,,,,,,,,,,,,,,,,,,
SNOTEL:702_WA_SNTL,24.5,,,,,,,,,,,,,,,,,,,
SNOTEL:704_ID_SNTL,5,,,,,,,,,,,,,,,,,,,
SNOTEL:706_OR_SNTL,0,,,,,,,,,,,,,,,,,,,
SNOTEL:708_NM_SNTL,4.6,,,,,,,,,,,,,,,,,,,
SNOTEL:709_CO_SNTL,14.9,,,,,,,,,,,,,,,,,,,
SNOTEL:710_OR_SNTL,0,,,,,,,,,,,,,,,,,,,
SNOTEL:712_OR_SNTL,46.2,,,,,,,,,,,,,,,,,,,
SNOTEL:713_CO_SNTL,13.1,,,,,,,,,,,,,,,,,,,
SNOTEL:714_UT_SNTL,8.3,,,,,,,,,,,,,,,,,,,
SNOTEL:715_NM_SNTL,3.7,,,,,,,,,,,,,,,,,,,
SNOTEL:717_CO_SNTL,16.5,,,,,,,,,,,,,,,,,,,
SNOTEL:718_CO_SNTL,12.1,,,,,,,,,,,,,,,,,,,
SNOTEL:720_UT_SNTL,4.8,,,,,,,,,,,,,,,,,,,
SNOTEL:723_UT_SNTL,8.2,,,,,,,,,,,,,,,,,,,
SNOTEL:724_CA_SNTL,18.4,,,,,,,,,,,,,,,,,,,
SNOTEL:726_OR_SNTL,2,,,,,,,,,,,,,,,,,,,
SNOTEL:727_MT_SNTL,17,,,,,,,,,,,,,,,,,,,
SNOTEL:728_WA_SNTL,5,,,,,,,,,,,,,,,,,,,
SNOTEL:729_OR_SNTL,14.9,,,,,,,,,,,,,,,,,,,
SNOTEL:730_WY_SNTL,8.3,,,,,,,,,,,,,,,,,,,
SNOTEL:731_WY_SNTL,18.2,,,,,,,,,,,,,,,,,,,
SNOTEL:732_WY_SNTL,8.5,,,,,,,,,,,,,,,,,,,
SNOTEL:733_OR_SNTL,12.8,,,,,,,,,,,,,,,,,,,
SNOTEL:734_WA_SNTL,19.3,,,,,,,,,,,,,,,,,,,
SNOTEL:735_ID_SNTL,20,,,,,,,,,,,,,,,,,,,
SNOTEL:736_OR_SNTL,17.9,,,,,,,,,,,,,,,,,,,
SNOTEL:738_ID_SNTL,29.9,,,,,,,,,,,,,,,,,,,
SNOTEL:739_CO_SNTL,7.3,,,,,,,,,,,,,,,,,,,
SNOTEL:741_ID_SNTL,9.7,,,,,,,,,,,,,,,,,,,
SNOTEL:742_UT_SNTL,6.2,,,,,,,,,,,,,,,,,,,
SNOTEL:743_OR_SNTL,0,,,,,,,,,,,,,,,,,,,
SNOTEL:744_NM_SNTL,4.3,,,,,,,,,,,,,,,,,,,
SNOTEL:745_OR_SNTL,16.8,,,,,,,,,,,,,,,,,,,
SNOTEL:746_NV_SNTL,5.3,,,,,,,,,,,,,,,,,,,
SNOTEL:747_ID_SNTL,21.4,,,,,,,,,,,,,,,,,,,
SNOTEL:748_WA_SNTL,31.2,,,,,,,,,,,,,,,,,,,
SNOTEL:749_ID_SNTL,8.2,,,,,,,,,,,,,,,,,,,
SNOTEL:751_WY_SNTL,9.3,,,,,,,,,,,,,,,,,,,
SNOTEL:752_ID_SNTL,9.5,,,,,,,,,,,,,,,,,,,
SNOTEL:754_MT_SNTL,13.1,,,,,,,,,,,,,,,,,,,
SNOTEL:755_NM_SNTL,0,,,,,,,,,,,,,,,,,,,
SNOTEL:756_OR_SNTL,7.4,,,,,,,,,,,,,,,,,,,
SNOTEL:757_NM_SNTL,4.2,,,,,,,,,,,,,,,,,,,
SNOTEL:758_MT_SNTL,,,,,,,,,,,,,,,,,,,,
SNOTEL:761_ID_SNTL,9.3,,,,,,,,,,,,,,,,,,,
SNOTEL:762_CO_SNTL,6.8,,,,,,,,,,,,,,,,,,,
SNOTEL:763_UT_SNTL,7.1,,,,,,,,,,,,,,,,,,,
SNOTEL:764_WY_SNTL,9.4,,,,,,,,,,,,,,,,,,,
SNOTEL:765_WY_SNTL,7.5,,,,,,,,,,,,,,,,,,,
SNOTEL:767_OR_SNTL,6.1,,,,,,,,,,,,,,,,,,,
SNOTEL:770_ID_SNTL,9.3,,,,,,,,,,,,,,,,,,,
SNOTEL:771_CA_SNTL,11.8,,,,,,,,,,,,,,,,,,,
SNOTEL:773_CO_SNTL,11.5,,,,,,,,,,,,,,,,,,,
SNOTEL:777_WA_SNTL,6.2,,,,,,,,,,,,,,,,,,,
SNOTEL:778_CA_SNTL,3.6,,,,,,,,,,,,,,,,,,,
SNOTEL:779_WY_SNTL,15,,,,,,,,,,,,,,,,,,,
SNOTEL:780_CO_SNTL,15.3,,,,,,,,,,,,,,,,,,,
SNOTEL:781_MT_SNTL,15.1,,,,,,,,,,,,,,,,,,,
SNOTEL:782_ID_SNTL,14.9,,,,,,,,,,,,,,,,,,,
SNOTEL:784_CA_SNTL,20.4,,,,,,,,,,,,,,,,,,,
SNOTEL:786_WY_SNTL,1.3,,,,,,,,,,,,,,,,,,,
SNOTEL:787_MT_SNTL,29.8,,,,,,,,,,,,,,,,,,,
SNOTEL:790_UT_SNTL,10.5,,,,,,,,,,,,,,,,,,,
SNOTEL:791_WA_SNTL,27.7,,,,,,,,,,,,,,,,,,,
SNOTEL:792_ID_SNTL,5.5,,,,,,,,,,,,,,,,,,,
SNOTEL:793_CO_SNTL,5.9,,,,,,,,,,,,,,,,,,,
SNOTEL:794_OR_SNTL,3.7,,,,,,,,,,,,,,,,,,,
SNOTEL:795_UT_SNTL,9.4,,,,,,,,,,,,,,,,,,,
SNOTEL:797_CO_SNTL,10.4,,,,,,,,,,,,,,,,,,,
SNOTEL:798_WY_SNTL,8.5,,,,,,,,,,,,,,,,,,,
SNOTEL:799_AZ_SNTL,,,,,,,,,,,,,,,,,,,,
SNOTEL:8011_WY_SNTL,,,,,,,,,,,,,,,,,,,,
SNOTEL:801_OR_SNTL,21.9,,,,,,,,,,,,,,,,,,,
SNOTEL:803_ID_SNTL,15.8,,,,,,,,,,,,,,,,,,,
SNOTEL:804_WA_SNTL,28.3,,,,,,,,,,,,,,,,,,,
SNOTEL:805_ID_SNTL,8.5,,,,,,,,,,,,,,,,,,,
SNOTEL:806_WY_SNTL,11.3,,,,,,,,,,,,,,,,,,,
SNOTEL:8082_UT_SNTL,,,,,,,,,,,,,,,,,,,,
SNOTEL:809_CA_SNTL,8.7,,,,,,,,,,,,,,,,,,,
SNOTEL:810_OR_SNTL,5.2,,,,,,,,,,,,,,,,,,,
SNOTEL:811_NV_SNTL,4.9,,,,,,,,,,,,,,,,,,,
SNOTEL:812_OR_SNTL,12,,,,,,,,,,,,,,,,,,,
SNOTEL:814_UT_SNTL,13.4,,,,,,,,,,,,,,,,,,,
SNOTEL:815_OR_SNTL,10.6,,,,,,,,,,,,,,,,,,,
SNOTEL:816_WY_SNTL,11.2,,,,,,,,,,,,,,,,,,,
SNOTEL:817_WA_SNTL,,,,,,,,,,,,,,,,,,,,
SNOTEL:818_WY_SNTL,3,,,,,,,,,,,,,,,,,,,
SNOTEL:819_WY_SNTL,2.8,,,,,,,,,,,,,,,,,,,
SNOTEL:820_UT_SNTL,11.4,,,,,,,,,,,,,,,,,,,
SNOTEL:822_WY_SNTL,14.8,,,,,,,,,,,,,,,,,,,
SNOTEL:823_UT_SNTL,23.8,,,,,,,,,,,,,,,,,,,
SNOTEL:824_WA_SNTL,19.6,,,,,,,,,,,,,,,,,,,
SNOTEL:825_CO_SNTL,28.4,,,,,,,,,,,,,,,,,,,
SNOTEL:826_WY_SNTL,6.3,,,,,,,,,,,,,,,,,,,
SNOTEL:827_CO_SNTL,3.8,,,,,,,,,,,,,,,,,,,
SNOTEL:830_ID_SNTL,22,,,,,,,,,,,,,,,,,,,
SNOTEL:831_WY_SNTL,15,,,,,,,,,,,,,,,,,,,
SNOTEL:832_WA_SNTL,5.6,,,,,,,,,,,,,,,,,,,
SNOTEL:833_UT_SNTL,5,,,,,,,,,,,,,,,,,,,
SNOTEL:834_CA_SNTL,14.2,,,,,,,,,,,,,,,,,,,
SNOTEL:835_MT_SNTL,12.5,,,,,,,,,,,,,,,,,,,
SNOTEL:837_WY_SNTL,20.1,,,,,,,,,,,,,,,,,,,
SNOTEL:838_CO_SNTL,11.2,,,,,,,,,,,,,,,,,,,
SNOTEL:839_CO_SNTL,3.2,,,,,,,,,,,,,,,,,,,
SNOTEL:840_CO_SNTL,19.6,,,,,,,,,,,,,,,,,,,
SNOTEL:841_WA_SNTL,6.4,,,,,,,,,,,,,,,,,,,
SNOTEL:842_CO_SNTL,11.6,,,,,,,,,,,,,,,,,,,
SNOTEL:844_UT_SNTL,5.5,,,,,,,,,,,,,,,,,,,
SNOTEL:845_ID_SNTL,21.5,,,,,,,,,,,,,,,,,,,
SNOTEL:847_MT_SNTL,8,,,,,,,,,,,,,,,,,,,
SNOTEL:848_CA_SNTL,22.8,,,,,,,,,,,,,,,,,,,
SNOTEL:849_NV_SNTL,7.9,,,,,,,,,,,,,,,,,,,
SNOTEL:850_MT_SNTL,14.8,,,,,,,,,,,,,,,,,,,
SNOTEL:851_WY_SNTL,,,,,,,,,,,,,,,,,,,,
SNOTEL:852_WY_SNTL,15.5,,,,,,,,,,,,,,,,,,,
SNOTEL:854_NM_SNTL,6.5,,,,,,,,,,,,,,,,,,,
SNOTEL:855_ID_SNTL,15.3,,,,,,,,,,,,,,,,,,,
SNOTEL:857_CO_SNTL,5.5,,,,,,,,,,,,,,,,,,,
SNOTEL:858_MT_SNTL,8.9,,,,,,,,,,,,,,,,,,,
SNOTEL:859_WY_SNTL,17.9,,,,,,,,,,,,,,,,,,,
SNOTEL:861_AZ_SNTL,0.4,,,,,,,,,,,,,,,,,,,
SNOTEL:862_MT_SNTL,13.8,,,,,,,,,,,,,,,,,,,
SNOTEL:863_WA_SNTL,17.3,,,,,,,,,,,,,,,,,,,
SNOTEL:864_UT_SNTL,7.4,,,,,,,,,,,,,,,,,,,
SNOTEL:865_UT_SNTL,5.6,,,,,,,,,,,,,,,,,,,
SNOTEL:868_WY_SNTL,16.4,,,,,,,,,,,,,,,,,,,
SNOTEL:869_CO_SNTL,10.5,,,,,,,,,,,,,,,,,,,
SNOTEL:871_ID_SNTL,7.8,,,,,,,,,,,,,,,,,,,
SNOTEL:872_WY_SNTL,4.5,,,,,,,,,,,,,,,,,,,
SNOTEL:873_OR_SNTL,6.3,,,,,,,,,,,,,,,,,,,
SNOTEL:874_CO_SNTL,25.2,,,,,,,,,,,,,,,,,,,
SNOTEL:876_MT_SNTL,6.8,,,,,,,,,,,,,,,,,,,
SNOTEL:877_AZ_SNTL,0,,,,,,,,,,,,,,,,,,,
SNOTEL:878_WY_SNTL,10.2,,,,,,,,,,,,,,,,,,,
SNOTEL:895_ID_SNTL,8.8,,,,,,,,,,,,,,,,,,,
SNOTEL:896_UT_SNTL,10.9,,,,,,,,,,,,,,,,,,,
SNOTEL:897_WA_SNTL,22.1,,,,,,,,,,,,,,,,,,,
