,6/02/2022,6/9/2022,6/16/2022,6/23/2022,6/30/2022
SNOTEL:757_NM_SNTL,0,,,,
SNOTEL:758_MT_SNTL,,,,,
SNOTEL:761_ID_SNTL,0,,,,
SNOTEL:762_CO_SNTL,0,,,,
SNOTEL:763_UT_SNTL,0,,,,
SNOTEL:764_WY_SNTL,0.1,,,,
SNOTEL:765_WY_SNTL,0,,,,
SNOTEL:767_OR_SNTL,0.1,,,,
SNOTEL:770_ID_SNTL,0,,,,
SNOTEL:771_CA_SNTL,0.1,,,,
SNOTEL:773_CO_SNTL,0.8,,,,
SNOTEL:777_WA_SNTL,0,,,,
SNOTEL:778_CA_SNTL,0,,,,
SNOTEL:779_WY_SNTL,17.2,,,,
SNOTEL:780_CO_SNTL,0,,,,
SNOTEL:781_MT_SNTL,19.7,,,,
SNOTEL:782_ID_SNTL,0,,,,
SNOTEL:784_CA_SNTL,0.1,,,,
SNOTEL:786_WY_SNTL,0.6,,,,
SNOTEL:787_MT_SNTL,46.8,,,,
SNOTEL:790_UT_SNTL,4.7,,,,
SNOTEL:791_WA_SNTL,25.3,,,,
SNOTEL:792_ID_SNTL,0,,,,
SNOTEL:793_CO_SNTL,0,,,,
SNOTEL:794_OR_SNTL,0.1,,,,
SNOTEL:795_UT_SNTL,0,,,,
SNOTEL:797_CO_SNTL,0.1,,,,
SNOTEL:798_WY_SNTL,12.4,,,,
SNOTEL:799_AZ_SNTL,,,,,
SNOTEL:8011_WY_SNTL,,,,,
SNOTEL:801_OR_SNTL,31.3,,,,
SNOTEL:803_ID_SNTL,11,,,,
SNOTEL:804_WA_SNTL,32.8,,,,
SNOTEL:805_ID_SNTL,0.9,,,,
SNOTEL:806_WY_SNTL,8.4,,,,
SNOTEL:8082_UT_SNTL,,,,,
SNOTEL:809_CA_SNTL,0.1,,,,
SNOTEL:810_OR_SNTL,0,,,,
SNOTEL:811_NV_SNTL,0,,,,
SNOTEL:812_OR_SNTL,0,,,,
SNOTEL:814_UT_SNTL,0,,,,
SNOTEL:815_OR_SNTL,0,,,,
SNOTEL:816_WY_SNTL,0.2,,,,
SNOTEL:817_WA_SNTL,17.6,,,,
SNOTEL:818_WY_SNTL,0.1,,,,
SNOTEL:819_WY_SNTL,2.1,,,,
SNOTEL:820_UT_SNTL,0,,,,
SNOTEL:822_WY_SNTL,19.2,,,,
SNOTEL:823_UT_SNTL,2.6,,,,
SNOTEL:824_WA_SNTL,2.9,,,,
SNOTEL:825_CO_SNTL,33.8,,,,
SNOTEL:826_WY_SNTL,1.6,,,,
SNOTEL:827_CO_SNTL,0,,,,
SNOTEL:830_ID_SNTL,18.8,,,,
SNOTEL:831_WY_SNTL,8.5,,,,
SNOTEL:832_WA_SNTL,0,,,,
SNOTEL:833_UT_SNTL,0,,,,
SNOTEL:834_CA_SNTL,0,,,,
SNOTEL:835_MT_SNTL,0,,,,
SNOTEL:837_WY_SNTL,28.8,,,,
SNOTEL:838_CO_SNTL,13.3,,,,
SNOTEL:839_CO_SNTL,0.2,,,,
SNOTEL:840_CO_SNTL,0,,,,
SNOTEL:841_WA_SNTL,0.1,,,,
SNOTEL:842_CO_SNTL,0.1,,,,
SNOTEL:844_UT_SNTL,0,,,,
SNOTEL:845_ID_SNTL,,,,,
SNOTEL:847_MT_SNTL,0,,,,
SNOTEL:848_CA_SNTL,,,,,
SNOTEL:849_NV_SNTL,0.7,,,,
SNOTEL:850_MT_SNTL,22.3,,,,
SNOTEL:851_WY_SNTL,,,,,
SNOTEL:852_WY_SNTL,2.6,,,,
SNOTEL:854_NM_SNTL,,,,,
SNOTEL:855_ID_SNTL,0,,,,
SNOTEL:857_CO_SNTL,0.2,,,,
SNOTEL:858_MT_SNTL,0,,,,
SNOTEL:859_WY_SNTL,7.1,,,,
SNOTEL:861_AZ_SNTL,0.2,,,,
SNOTEL:862_MT_SNTL,21.8,,,,
SNOTEL:863_WA_SNTL,13.3,,,,
SNOTEL:864_UT_SNTL,0,,,,
SNOTEL:865_UT_SNTL,0.6,,,,
SNOTEL:868_WY_SNTL,11.3,,,,
SNOTEL:869_CO_SNTL,0.4,,,,
SNOTEL:871_ID_SNTL,0,,,,
SNOTEL:872_WY_SNTL,0.2,,,,
SNOTEL:873_OR_SNTL,0,,,,
SNOTEL:874_CO_SNTL,0,,,,
SNOTEL:876_MT_SNTL,0,,,,
SNOTEL:877_AZ_SNTL,0,,,,
SNOTEL:878_WY_SNTL,0,,,,
SNOTEL:895_ID_SNTL,0,,,,
SNOTEL:896_UT_SNTL,0,,,,
SNOTEL:897_WA_SNTL,12.8,,,,
SNOTEL:899_WA_SNTL,15.1,,,,
SNOTEL:901_MT_SNTL,25.7,,,,
SNOTEL:902_AZ_SNTL,0,,,,
SNOTEL:904_CO_SNTL,,,,,
SNOTEL:905_CO_SNTL,0,,,,
SNOTEL:906_UT_SNTL,0,,,,
SNOTEL:907_UT_SNTL,0,,,,
SNOTEL:909_WA_SNTL,27.5,,,,
SNOTEL:911_WA_SNTL,22.8,,,,
SNOTEL:912_WA_SNTL,21,,,,
SNOTEL:913_CO_SNTL,0,,,,
SNOTEL:915_ID_SNTL,,,,,
SNOTEL:917_MT_SNTL,0,,,,
SNOTEL:918_MT_SNTL,0,,,,
SNOTEL:919_MT_SNTL,5.3,,,,
SNOTEL:920_SD_SNTL,0,,,,
SNOTEL:921_NM_SNTL,0,,,,
SNOTEL:922_NM_SNTL,,,,,
SNOTEL:923_WY_SNTL,7.4,,,,
SNOTEL:924_MT_SNTL,0,,,,
SNOTEL:925_OR_SNTL,0,,,,
SNOTEL:926_ID_SNTL,15.2,,,,
SNOTEL:927_AZ_SNTL,0,,,,
SNOTEL:929_MT_SNTL,0,,,,
SNOTEL:930_MT_SNTL,2.3,,,,
SNOTEL:935_CO_SNTL,0.5,,,,
SNOTEL:936_CO_SNTL,2.2,,,,
SNOTEL:937_CO_SNTL,0.7,,,,
SNOTEL:939_CO_SNTL,0,,,,
SNOTEL:941_WA_SNTL,0,,,,
SNOTEL:942_WA_SNTL,8.3,,,,
SNOTEL:945_OR_SNTL,0,,,,
SNOTEL:972_UT_SNTL,0,,,,
SNOTEL:974_WA_SNTL,32.4,,,,
SNOTEL:975_WA_SNTL,,,,,
SNOTEL:976_OR_SNTL,,,,,
SNOTEL:978_ID_SNTL,0,,,,
SNOTEL:981_MT_SNTL,0.2,,,,
SNOTEL:982_WY_SNTL,0,,,,
SNOTEL:984_WA_SNTL,0,,,,
SNOTEL:988_ID_SNTL,20.3,,,,
SNOTEL:989_ID_SNTL,0,,,,
SNOTEL:990_WA_SNTL,29.4,,,,
SNOTEL:991_WA_SNTL,,,,,
SNOTEL:992_UT_SNTL,0,,,,
SNOTEL:994_WA_SNTL,,,,,
SNOTEL:995_WA_SNTL,,,,,
SNOTEL:996_WA_SNTL,,,,,
SNOTEL:998_WA_SNTL,101,,,,
SNOTEL:999_WA_SNTL,47.1,,,,
