,2022-03-24
SNOTEL:851_WY_SNTL,-9999.0
SNOTEL:852_WY_SNTL,19.0
SNOTEL:854_NM_SNTL,9.6
SNOTEL:855_ID_SNTL,16.8
SNOTEL:857_CO_SNTL,8.3
SNOTEL:858_MT_SNTL,10.2
SNOTEL:859_WY_SNTL,23.0
SNOTEL:861_AZ_SNTL,0.1
SNOTEL:862_MT_SNTL,17.3
SNOTEL:863_WA_SNTL,20.0
SNOTEL:864_UT_SNTL,9.5
SNOTEL:865_UT_SNTL,7.7
SNOTEL:868_WY_SNTL,21.5
SNOTEL:869_CO_SNTL,13.1
SNOTEL:871_ID_SNTL,10.2
SNOTEL:872_WY_SNTL,7.4
SNOTEL:873_OR_SNTL,8.4
SNOTEL:874_CO_SNTL,33.7
SNOTEL:876_MT_SNTL,8.9
SNOTEL:877_AZ_SNTL,0.0
SNOTEL:878_WY_SNTL,12.7
SNOTEL:895_ID_SNTL,9.3
SNOTEL:896_UT_SNTL,13.8
SNOTEL:897_WA_SNTL,25.3
SNOTEL:899_WA_SNTL,24.5
SNOTEL:901_MT_SNTL,27.6
SNOTEL:902_AZ_SNTL,0.0
SNOTEL:904_CO_SNTL,20.1
SNOTEL:905_CO_SNTL,13.3
SNOTEL:906_UT_SNTL,10.5
SNOTEL:907_UT_SNTL,6.6
SNOTEL:909_WA_SNTL,31.0
SNOTEL:911_WA_SNTL,31.6
SNOTEL:912_WA_SNTL,36.8
SNOTEL:913_CO_SNTL,11.3
SNOTEL:915_ID_SNTL,9.7
SNOTEL:917_MT_SNTL,3.0
SNOTEL:918_MT_SNTL,11.3
SNOTEL:919_MT_SNTL,7.6
SNOTEL:920_SD_SNTL,5.1
SNOTEL:921_NM_SNTL,1.1
SNOTEL:922_NM_SNTL,11.0
SNOTEL:923_WY_SNTL,10.5
SNOTEL:924_MT_SNTL,8.0
SNOTEL:925_OR_SNTL,3.6
SNOTEL:926_ID_SNTL,15.9
SNOTEL:927_AZ_SNTL,18.3
SNOTEL:929_MT_SNTL,7.5
SNOTEL:930_MT_SNTL,8.0
SNOTEL:935_CO_SNTL,10.0
SNOTEL:936_CO_SNTL,5.8
SNOTEL:937_CO_SNTL,7.5
SNOTEL:939_CO_SNTL,3.8
SNOTEL:941_WA_SNTL,0.0
SNOTEL:942_WA_SNTL,18.7
SNOTEL:945_OR_SNTL,0.0
SNOTEL:972_UT_SNTL,13.6
SNOTEL:974_WA_SNTL,31.4
SNOTEL:975_WA_SNTL,17.7
SNOTEL:976_OR_SNTL,-9999.0
SNOTEL:978_ID_SNTL,16.9
SNOTEL:981_MT_SNTL,5.5
SNOTEL:982_WY_SNTL,3.9
SNOTEL:984_WA_SNTL,12.5
SNOTEL:988_ID_SNTL,30.8
SNOTEL:989_ID_SNTL,13.7
SNOTEL:990_WA_SNTL,38.7
SNOTEL:991_WA_SNTL,-9999.0
SNOTEL:992_UT_SNTL,8.3
SNOTEL:994_WA_SNTL,-9999.0
SNOTEL:995_WA_SNTL,-9999.0
SNOTEL:996_WA_SNTL,-9999.0
SNOTEL:998_WA_SNTL,91.0
SNOTEL:999_WA_SNTL,52.6
