,4/07/2022,4/14/2022,4/21/2022,4/28/2022,5/5/2022,5/12/2022,5/19/2022,5/26/2022,6/2/2022,6/9/2022,6/16/2022,6/23/2022,6/30/2022
SNOTEL:525_WY_SNTL,13.5,,,,,,,,,,,,
SNOTEL:526_OR_SNTL,9.7,,,,,,,,,,,,
SNOTEL:528_UT_SNTL,6.4,,,,,,,,,,,,
SNOTEL:529_OR_SNTL,11.2,,,,,,,,,,,,
SNOTEL:530_MT_SNTL,38.7,,,,,,,,,,,,
SNOTEL:531_CO_SNTL,13.1,,,,,,,,,,,,
SNOTEL:532_NM_SNTL,14.4,,,,,,,,,,,,
SNOTEL:533_UT_SNTL,11.9,,,,,,,,,,,,
SNOTEL:535_ID_SNTL,16.8,,,,,,,,,,,,
SNOTEL:540_CA_SNTL,0.5,,,,,,,,,,,,
SNOTEL:541_CA_SNTL,33.9,,,,,,,,,,,,
SNOTEL:542_CO_SNTL,13.9,,,,,,,,,,,,
SNOTEL:543_UT_SNTL,8.5,,,,,,,,,,,,
SNOTEL:548_NV_SNTL,8.7,,,,,,,,,,,,
SNOTEL:549_NV_SNTL,,,,,,,,,,,,,
SNOTEL:550_ID_SNTL,18,,,,,,,,,,,,
SNOTEL:552_OR_SNTL,2.8,,,,,,,,,,,,
SNOTEL:553_WA_SNTL,40,,,,,,,,,,,,
SNOTEL:554_WY_SNTL,10.3,,,,,,,,,,,,
SNOTEL:555_WY_SNTL,6.7,,,,,,,,,,,,
SNOTEL:556_CO_SNTL,12.1,,,,,,,,,,,,
SNOTEL:558_OR_SNTL,0,,,,,,,,,,,,
SNOTEL:559_UT_SNTL,8.1,,,,,,,,,,,,
SNOTEL:560_WY_SNTL,10.9,,,,,,,,,,,,
SNOTEL:562_MT_SNTL,8.4,,,,,,,,,,,,
SNOTEL:563_OR_SNTL,0.1,,,,,,,,,,,,
SNOTEL:564_CO_SNTL,9.6,,,,,,,,,,,,
SNOTEL:565_CO_SNTL,21.3,,,,,,,,,,,,
SNOTEL:566_UT_SNTL,9.8,,,,,,,,,,,,
SNOTEL:568_MT_SNTL,0.7,,,,,,,,,,,,
SNOTEL:569_NV_SNTL,0,,,,,,,,,,,,
SNOTEL:570_NV_SNTL,3,,,,,,,,,,,,
SNOTEL:571_WY_SNTL,7,,,,,,,,,,,,
SNOTEL:572_UT_SNTL,8.7,,,,,,,,,,,,
SNOTEL:575_CA_SNTL,0,,,,,,,,,,,,
SNOTEL:576_MT_SNTL,7.7,,,,,,,,,,,,
SNOTEL:577_WY_SNTL,19.7,,,,,,,,,,,,
SNOTEL:579_UT_SNTL,9.8,,,,,,,,,,,,
SNOTEL:580_CO_SNTL,11.8,,,,,,,,,,,,
SNOTEL:582_UT_SNTL,0.1,,,,,,,,,,,,
SNOTEL:583_UT_SNTL,0,,,,,,,,,,,,
SNOTEL:585_WY_SNTL,10.2,,,,,,,,,,,,
SNOTEL:587_CA_SNTL,5.8,,,,,,,,,,,,
SNOTEL:588_ID_SNTL,27.9,,,,,,,,,,,,
SNOTEL:589_CO_SNTL,12.7,,,,,,,,,,,,
SNOTEL:590_MT_SNTL,16.3,,,,,,,,,,,,
SNOTEL:591_WA_SNTL,,,,,,,,,,,,,
SNOTEL:592_UT_SNTL,0,,,,,,,,,,,,
SNOTEL:593_UT_SNTL,0.2,,,,,,,,,,,,
SNOTEL:596_UT_SNTL,18.2,,,,,,,,,,,,
SNOTEL:597_WY_SNTL,10,,,,,,,,,,,,
SNOTEL:598_WY_SNTL,,,,,,,,,,,,,
SNOTEL:600_ID_SNTL,43.5,,,,,,,,,,,,
SNOTEL:603_MT_SNTL,13.2,,,,,,,,,,,,
SNOTEL:604_MT_SNTL,0,,,,,,,,,,,,
SNOTEL:605_OR_SNTL,0.1,,,,,,,,,,,,
SNOTEL:606_WA_SNTL,54.6,,,,,,,,,,,,
SNOTEL:607_CO_SNTL,7.3,,,,,,,,,,,,
SNOTEL:610_ID_SNTL,15.3,,,,,,,,,,,,
SNOTEL:611_SD_SNTL,,,,,,,,,,,,,
SNOTEL:612_UT_SNTL,15.2,,,,,,,,,,,,
SNOTEL:613_MT_SNTL,13.2,,,,,,,,,,,,
SNOTEL:614_OR_SNTL,6.1,,,,,,,,,,,,
SNOTEL:615_NV_SNTL,13.4,,,,,,,,,,,,
SNOTEL:616_WY_SNTL,4.3,,,,,,,,,,,,
SNOTEL:617_AZ_SNTL,0,,,,,,,,,,,,
SNOTEL:619_OR_SNTL,26,,,,,,,,,,,,
SNOTEL:620_ID_SNTL,13.2,,,,,,,,,,,,
SNOTEL:621_UT_SNTL,10.8,,,,,,,,,,,,
SNOTEL:622_CO_SNTL,16.1,,,,,,,,,,,,
SNOTEL:623_ID_SNTL,18.8,,,,,,,,,,,,
SNOTEL:625_WY_SNTL,8,,,,,,,,,,,,
SNOTEL:626_UT_SNTL,16.5,,,,,,,,,,,,
SNOTEL:627_ID_SNTL,21.7,,,,,,,,,,,,
SNOTEL:628_UT_SNTL,15.8,,,,,,,,,,,,
SNOTEL:629_CO_SNTL,11.2,,,,,,,,,,,,
SNOTEL:630_WA_SNTL,,,,,,,,,,,,,
SNOTEL:633_CA_SNTL,4.3,,,,,,,,,,,,
SNOTEL:637_ID_SNTL,17.1,,,,,,,,,,,,
SNOTEL:640_AZ_SNTL,0,,,,,,,,,,,,
SNOTEL:642_WA_SNTL,47.3,,,,,,,,,,,,
SNOTEL:643_UT_SNTL,12.5,,,,,,,,,,,,
SNOTEL:644_WA_SNTL,9.2,,,,,,,,,,,,
SNOTEL:645_ID_SNTL,29.9,,,,,,,,,,,,
SNOTEL:646_MT_SNTL,38.1,,,,,,,,,,,,
SNOTEL:647_OR_SNTL,18.8,,,,,,,,,,,,
SNOTEL:648_WA_SNTL,26.9,,,,,,,,,,,,
SNOTEL:649_MT_SNTL,20.9,,,,,,,,,,,,
SNOTEL:650_ID_SNTL,19.7,,,,,,,,,,,,
SNOTEL:651_OR_SNTL,44,,,,,,,,,,,,
SNOTEL:652_NV_SNTL,22.6,,,,,,,,,,,,
SNOTEL:654_ID_SNTL,,,,,,,,,,,,,
SNOTEL:655_OR_SNTL,25.4,,,,,,,,,,,,
SNOTEL:657_MT_SNTL,9.4,,,,,,,,,,,,
SNOTEL:658_CO_SNTL,6.8,,,,,,,,,,,,
SNOTEL:659_MT_SNTL,,,,,,,,,,,,,
SNOTEL:661_WY_SNTL,6.3,,,,,,,,,,,,
SNOTEL:662_MT_SNTL,12.1,,,,,,,,,,,,
SNOTEL:663_CO_SNTL,12.5,,,,,,,,,,,,
SNOTEL:664_MT_SNTL,37.8,,,,,,,,,,,,
SNOTEL:665_NM_SNTL,1.3,,,,,,,,,,,,
SNOTEL:666_OR_SNTL,22,,,,,,,,,,,,
SNOTEL:667_MT_SNTL,44.1,,,,,,,,,,,,
SNOTEL:669_CO_SNTL,19.2,,,,,,,,,,,,
SNOTEL:670_MT_SNTL,4.7,,,,,,,,,,,,
SNOTEL:671_OR_SNTL,0,,,,,,,,,,,,
SNOTEL:672_WA_SNTL,48.8,,,,,,,,,,,,
SNOTEL:673_WY_SNTL,27,,,,,,,,,,,,
SNOTEL:676_WY_SNTL,5.2,,,,,,,,,,,,
SNOTEL:677_ID_SNTL,0,,,,,,,,,,,,
SNOTEL:678_NM_SNTL,,,,,,,,,,,,,
SNOTEL:680_CO_SNTL,11.1,,,,,,,,,,,,
SNOTEL:681_WA_SNTL,38.9,,,,,,,,,,,,
SNOTEL:682_CO_SNTL,26.5,,,,,,,,,,,,
SNOTEL:683_WY_SNTL,18.2,,,,,,,,,,,,
SNOTEL:684_UT_SNTL,10,,,,,,,,,,,,
SNOTEL:685_CO_SNTL,,,,,,,,,,,,,
SNOTEL:686_UT_SNTL,8.4,,,,,,,,,,,,
SNOTEL:689_WY_SNTL,17.6,,,,,,,,,,,,
SNOTEL:690_MT_SNTL,0,,,,,,,,,,,,
SNOTEL:691_UT_SNTL,9.3,,,,,,,,,,,,
SNOTEL:693_MT_SNTL,4,,,,,,,,,,,,
SNOTEL:694_UT_SNTL,13.5,,,,,,,,,,,,
SNOTEL:696_MT_SNTL,15,,,,,,,,,,,,
SNOTEL:698_NV_SNTL,17,,,,,,,,,,,,
SNOTEL:699_WA_SNTL,8.6,,,,,,,,,,,,
SNOTEL:700_MT_SNTL,3.1,,,,,,,,,,,,
SNOTEL:702_WA_SNTL,29.5,,,,,,,,,,,,
SNOTEL:704_ID_SNTL,0,,,,,,,,,,,,
SNOTEL:706_OR_SNTL,0,,,,,,,,,,,,
SNOTEL:708_NM_SNTL,,,,,,,,,,,,,
SNOTEL:709_CO_SNTL,19.4,,,,,,,,,,,,
SNOTEL:710_OR_SNTL,0,,,,,,,,,,,,
SNOTEL:712_OR_SNTL,55.4,,,,,,,,,,,,
SNOTEL:713_CO_SNTL,19.1,,,,,,,,,,,,
SNOTEL:714_UT_SNTL,12.8,,,,,,,,,,,,
SNOTEL:715_NM_SNTL,2.9,,,,,,,,,,,,
SNOTEL:717_CO_SNTL,21.5,,,,,,,,,,,,
SNOTEL:718_CO_SNTL,15.9,,,,,,,,,,,,
SNOTEL:720_UT_SNTL,3.1,,,,,,,,,,,,
SNOTEL:723_UT_SNTL,11.4,,,,,,,,,,,,
SNOTEL:724_CA_SNTL,11.7,,,,,,,,,,,,
SNOTEL:726_OR_SNTL,0.7,,,,,,,,,,,,
SNOTEL:727_MT_SNTL,22.4,,,,,,,,,,,,
SNOTEL:728_WA_SNTL,2.2,,,,,,,,,,,,
SNOTEL:729_OR_SNTL,14.3,,,,,,,,,,,,
SNOTEL:730_WY_SNTL,10.8,,,,,,,,,,,,
SNOTEL:731_WY_SNTL,23.9,,,,,,,,,,,,
SNOTEL:732_WY_SNTL,11.4,,,,,,,,,,,,
SNOTEL:733_OR_SNTL,0.1,,,,,,,,,,,,
SNOTEL:734_WA_SNTL,23.8,,,,,,,,,,,,
SNOTEL:735_ID_SNTL,26.1,,,,,,,,,,,,
SNOTEL:736_OR_SNTL,17.8,,,,,,,,,,,,
SNOTEL:738_ID_SNTL,43.4,,,,,,,,,,,,
SNOTEL:739_CO_SNTL,4.1,,,,,,,,,,,,
SNOTEL:741_ID_SNTL,11.4,,,,,,,,,,,,
SNOTEL:742_UT_SNTL,8.8,,,,,,,,,,,,
SNOTEL:743_OR_SNTL,0.1,,,,,,,,,,,,
SNOTEL:744_NM_SNTL,2.7,,,,,,,,,,,,
SNOTEL:745_OR_SNTL,16.6,,,,,,,,,,,,
SNOTEL:746_NV_SNTL,2.2,,,,,,,,,,,,
SNOTEL:747_ID_SNTL,18.9,,,,,,,,,,,,
SNOTEL:748_WA_SNTL,39,,,,,,,,,,,,
SNOTEL:749_ID_SNTL,8.8,,,,,,,,,,,,
SNOTEL:751_WY_SNTL,12.5,,,,,,,,,,,,
SNOTEL:752_ID_SNTL,1.9,,,,,,,,,,,,
SNOTEL:754_MT_SNTL,18.4,,,,,,,,,,,,
SNOTEL:755_NM_SNTL,0,,,,,,,,,,,,
SNOTEL:756_OR_SNTL,0.1,,,,,,,,,,,,
SNOTEL:757_NM_SNTL,0.1,,,,,,,,,,,,
SNOTEL:758_MT_SNTL,,,,,,,,,,,,,
SNOTEL:761_ID_SNTL,10.6,,,,,,,,,,,,
SNOTEL:762_CO_SNTL,11.2,,,,,,,,,,,,
SNOTEL:763_UT_SNTL,7.2,,,,,,,,,,,,
SNOTEL:764_WY_SNTL,9.5,,,,,,,,,,,,
SNOTEL:765_WY_SNTL,7.7,,,,,,,,,,,,
SNOTEL:767_OR_SNTL,4,,,,,,,,,,,,
SNOTEL:770_ID_SNTL,9.7,,,,,,,,,,,,
SNOTEL:771_CA_SNTL,12.6,,,,,,,,,,,,
SNOTEL:773_CO_SNTL,18.9,,,,,,,,,,,,
SNOTEL:777_WA_SNTL,0.3,,,,,,,,,,,,
SNOTEL:778_CA_SNTL,0,,,,,,,,,,,,
SNOTEL:779_WY_SNTL,18.7,,,,,,,,,,,,
SNOTEL:780_CO_SNTL,19.9,,,,,,,,,,,,
SNOTEL:781_MT_SNTL,19,,,,,,,,,,,,
SNOTEL:782_ID_SNTL,14.9,,,,,,,,,,,,
SNOTEL:784_CA_SNTL,11.2,,,,,,,,,,,,
SNOTEL:786_WY_SNTL,0,,,,,,,,,,,,
SNOTEL:787_MT_SNTL,43.6,,,,,,,,,,,,
SNOTEL:790_UT_SNTL,13.9,,,,,,,,,,,,
SNOTEL:791_WA_SNTL,39.9,,,,,,,,,,,,
SNOTEL:792_ID_SNTL,2.5,,,,,,,,,,,,
SNOTEL:793_CO_SNTL,4,,,,,,,,,,,,
SNOTEL:794_OR_SNTL,0,,,,,,,,,,,,
SNOTEL:795_UT_SNTL,10.1,,,,,,,,,,,,
SNOTEL:797_CO_SNTL,16.2,,,,,,,,,,,,
SNOTEL:798_WY_SNTL,10.8,,,,,,,,,,,,
SNOTEL:799_AZ_SNTL,,,,,,,,,,,,,
SNOTEL:8011_WY_SNTL,,,,,,,,,,,,,
SNOTEL:801_OR_SNTL,27.9,,,,,,,,,,,,
SNOTEL:803_ID_SNTL,19.7,,,,,,,,,,,,
SNOTEL:804_WA_SNTL,36.7,,,,,,,,,,,,
SNOTEL:805_ID_SNTL,6.9,,,,,,,,,,,,
SNOTEL:806_WY_SNTL,13.9,,,,,,,,,,,,
SNOTEL:8082_UT_SNTL,,,,,,,,,,,,,
SNOTEL:809_CA_SNTL,0,,,,,,,,,,,,
SNOTEL:810_OR_SNTL,0,,,,,,,,,,,,
SNOTEL:811_NV_SNTL,0,,,,,,,,,,,,
SNOTEL:812_OR_SNTL,7.9,,,,,,,,,,,,
SNOTEL:814_UT_SNTL,18.1,,,,,,,,,,,,
SNOTEL:815_OR_SNTL,4.6,,,,,,,,,,,,
SNOTEL:816_WY_SNTL,13,,,,,,,,,,,,
SNOTEL:817_WA_SNTL,33.8,,,,,,,,,,,,
SNOTEL:818_WY_SNTL,2.6,,,,,,,,,,,,
SNOTEL:819_WY_SNTL,3.1,,,,,,,,,,,,
SNOTEL:820_UT_SNTL,10.7,,,,,,,,,,,,
SNOTEL:822_WY_SNTL,18.6,,,,,,,,,,,,
SNOTEL:823_UT_SNTL,25.4,,,,,,,,,,,,
SNOTEL:824_WA_SNTL,22.5,,,,,,,,,,,,
SNOTEL:825_CO_SNTL,34.4,,,,,,,,,,,,
SNOTEL:826_WY_SNTL,8.3,,,,,,,,,,,,
SNOTEL:827_CO_SNTL,6.6,,,,,,,,,,,,
SNOTEL:830_ID_SNTL,24.7,,,,,,,,,,,,
SNOTEL:831_WY_SNTL,17.6,,,,,,,,,,,,
SNOTEL:832_WA_SNTL,5.9,,,,,,,,,,,,
SNOTEL:833_UT_SNTL,9,,,,,,,,,,,,
SNOTEL:834_CA_SNTL,0.7,,,,,,,,,,,,
SNOTEL:835_MT_SNTL,9.1,,,,,,,,,,,,
SNOTEL:837_WY_SNTL,25.1,,,,,,,,,,,,
SNOTEL:838_CO_SNTL,15.3,,,,,,,,,,,,
SNOTEL:839_CO_SNTL,1.9,,,,,,,,,,,,
SNOTEL:840_CO_SNTL,28,,,,,,,,,,,,
SNOTEL:841_WA_SNTL,6.6,,,,,,,,,,,,
SNOTEL:842_CO_SNTL,15.8,,,,,,,,,,,,
SNOTEL:844_UT_SNTL,1.6,,,,,,,,,,,,
SNOTEL:845_ID_SNTL,24.3,,,,,,,,,,,,
SNOTEL:847_MT_SNTL,11.4,,,,,,,,,,,,
SNOTEL:848_CA_SNTL,13.8,,,,,,,,,,,,
SNOTEL:849_NV_SNTL,4.6,,,,,,,,,,,,
SNOTEL:850_MT_SNTL,20,,,,,,,,,,,,
SNOTEL:851_WY_SNTL,,,,,,,,,,,,,
SNOTEL:852_WY_SNTL,19.9,,,,,,,,,,,,
SNOTEL:854_NM_SNTL,9.6,,,,,,,,,,,,
SNOTEL:855_ID_SNTL,13.7,,,,,,,,,,,,
SNOTEL:857_CO_SNTL,8,,,,,,,,,,,,
SNOTEL:858_MT_SNTL,10.7,,,,,,,,,,,,
SNOTEL:859_WY_SNTL,23.1,,,,,,,,,,,,
SNOTEL:861_AZ_SNTL,0.5,,,,,,,,,,,,
SNOTEL:862_MT_SNTL,18.3,,,,,,,,,,,,
SNOTEL:863_WA_SNTL,20.8,,,,,,,,,,,,
SNOTEL:864_UT_SNTL,7.5,,,,,,,,,,,,
SNOTEL:865_UT_SNTL,4.2,,,,,,,,,,,,
SNOTEL:868_WY_SNTL,20.4,,,,,,,,,,,,
SNOTEL:869_CO_SNTL,13.8,,,,,,,,,,,,
SNOTEL:871_ID_SNTL,7.1,,,,,,,,,,,,
SNOTEL:872_WY_SNTL,7.5,,,,,,,,,,,,
SNOTEL:873_OR_SNTL,7.6,,,,,,,,,,,,
SNOTEL:874_CO_SNTL,35.1,,,,,,,,,,,,
SNOTEL:876_MT_SNTL,8.9,,,,,,,,,,,,
SNOTEL:877_AZ_SNTL,,,,,,,,,,,,,
SNOTEL:878_WY_SNTL,12.7,,,,,,,,,,,,
SNOTEL:895_ID_SNTL,6.9,,,,,,,,,,,,
SNOTEL:896_UT_SNTL,9,,,,,,,,,,,,
SNOTEL:897_WA_SNTL,25.4,,,,,,,,,,,,
SNOTEL:899_WA_SNTL,25.2,,,,,,,,,,,,
SNOTEL:901_MT_SNTL,28.6,,,,,,,,,,,,
SNOTEL:902_AZ_SNTL,1.2,,,,,,,,,,,,
SNOTEL:904_CO_SNTL,20.5,,,,,,,,,,,,
SNOTEL:905_CO_SNTL,11.8,,,,,,,,,,,,
SNOTEL:906_UT_SNTL,6.9,,,,,,,,,,,,
SNOTEL:907_UT_SNTL,0,,,,,,,,,,,,
SNOTEL:909_WA_SNTL,33.2,,,,,,,,,,,,
SNOTEL:911_WA_SNTL,32.8,,,,,,,,,,,,
SNOTEL:912_WA_SNTL,38.4,,,,,,,,,,,,
SNOTEL:913_CO_SNTL,12.3,,,,,,,,,,,,
SNOTEL:915_ID_SNTL,9.6,,,,,,,,,,,,
SNOTEL:917_MT_SNTL,0.6,,,,,,,,,,,,
SNOTEL:918_MT_SNTL,12.1,,,,,,,,,,,,
SNOTEL:919_MT_SNTL,7.8,,,,,,,,,,,,
SNOTEL:920_SD_SNTL,4.6,,,,,,,,,,,,
SNOTEL:921_NM_SNTL,0.1,,,,,,,,,,,,
SNOTEL:922_NM_SNTL,,,,,,,,,,,,,
SNOTEL:923_WY_SNTL,11.3,,,,,,,,,,,,
SNOTEL:924_MT_SNTL,6.6,,,,,,,,,,,,
SNOTEL:925_OR_SNTL,0,,,,,,,,,,,,
SNOTEL:926_ID_SNTL,16,,,,,,,,,,,,
SNOTEL:927_AZ_SNTL,15.4,,,,,,,,,,,,
SNOTEL:929_MT_SNTL,6.4,,,,,,,,,,,,
SNOTEL:930_MT_SNTL,8.4,,,,,,,,,,,,
SNOTEL:935_CO_SNTL,10.4,,,,,,,,,,,,
SNOTEL:936_CO_SNTL,6,,,,,,,,,,,,
SNOTEL:937_CO_SNTL,7.8,,,,,,,,,,,,
SNOTEL:939_CO_SNTL,3.8,,,,,,,,,,,,
SNOTEL:941_WA_SNTL,0,,,,,,,,,,,,
SNOTEL:942_WA_SNTL,17.8,,,,,,,,,,,,
SNOTEL:945_OR_SNTL,0.1,,,,,,,,,,,,
SNOTEL:972_UT_SNTL,7.4,,,,,,,,,,,,
SNOTEL:974_WA_SNTL,37.2,,,,,,,,,,,,
SNOTEL:975_WA_SNTL,,,,,,,,,,,,,
SNOTEL:976_OR_SNTL,,,,,,,,,,,,,
SNOTEL:978_ID_SNTL,14.8,,,,,,,,,,,,
SNOTEL:981_MT_SNTL,4.2,,,,,,,,,,,,
SNOTEL:982_WY_SNTL,3.4,,,,,,,,,,,,
SNOTEL:984_WA_SNTL,8.7,,,,,,,,,,,,
SNOTEL:988_ID_SNTL,32.5,,,,,,,,,,,,
SNOTEL:989_ID_SNTL,10.3,,,,,,,,,,,,
SNOTEL:990_WA_SNTL,41.2,,,,,,,,,,,,
SNOTEL:991_WA_SNTL,,,,,,,,,,,,,
SNOTEL:992_UT_SNTL,6.6,,,,,,,,,,,,
SNOTEL:994_WA_SNTL,,,,,,,,,,,,,
SNOTEL:995_WA_SNTL,,,,,,,,,,,,,
SNOTEL:996_WA_SNTL,,,,,,,,,,,,,
SNOTEL:998_WA_SNTL,102.7,,,,,,,,,,,,
SNOTEL:999_WA_SNTL,58.7,,,,,,,,,,,,
