,2022-04-21
SNOTEL:851_WY_SNTL,-9999.0
SNOTEL:852_WY_SNTL,20.1
SNOTEL:854_NM_SNTL,3.9
SNOTEL:855_ID_SNTL,14.6
SNOTEL:857_CO_SNTL,1.6
SNOTEL:858_MT_SNTL,12.4
SNOTEL:859_WY_SNTL,25.6
SNOTEL:861_AZ_SNTL,0.0
SNOTEL:862_MT_SNTL,21.1
SNOTEL:863_WA_SNTL,24.3
SNOTEL:864_UT_SNTL,3.3
SNOTEL:865_UT_SNTL,0.0
SNOTEL:868_WY_SNTL,26.0
SNOTEL:869_CO_SNTL,15.5
SNOTEL:871_ID_SNTL,5.6
SNOTEL:872_WY_SNTL,7.7
SNOTEL:873_OR_SNTL,7.0
SNOTEL:874_CO_SNTL,28.1
SNOTEL:876_MT_SNTL,9.4
SNOTEL:877_AZ_SNTL,0.0
SNOTEL:878_WY_SNTL,14.6
SNOTEL:895_ID_SNTL,7.3
SNOTEL:896_UT_SNTL,5.6
SNOTEL:897_WA_SNTL,30.1
SNOTEL:899_WA_SNTL,29.1
SNOTEL:901_MT_SNTL,30.0
SNOTEL:902_AZ_SNTL,0.0
SNOTEL:904_CO_SNTL,19.1
SNOTEL:905_CO_SNTL,2.2
SNOTEL:906_UT_SNTL,2.1
SNOTEL:907_UT_SNTL,0.0
SNOTEL:909_WA_SNTL,38.5
SNOTEL:911_WA_SNTL,38.4
SNOTEL:912_WA_SNTL,43.3
SNOTEL:913_CO_SNTL,13.6
SNOTEL:915_ID_SNTL,10.7
SNOTEL:917_MT_SNTL,1.1
SNOTEL:918_MT_SNTL,12.3
SNOTEL:919_MT_SNTL,8.8
SNOTEL:920_SD_SNTL,3.4
SNOTEL:921_NM_SNTL,0.0
SNOTEL:922_NM_SNTL,9.0
SNOTEL:923_WY_SNTL,13.8
SNOTEL:924_MT_SNTL,5.6
SNOTEL:925_OR_SNTL,5.8
SNOTEL:926_ID_SNTL,17.9
SNOTEL:927_AZ_SNTL,6.8
SNOTEL:929_MT_SNTL,5.8
SNOTEL:930_MT_SNTL,9.9
SNOTEL:935_CO_SNTL,10.7
SNOTEL:936_CO_SNTL,5.8
SNOTEL:937_CO_SNTL,8.1
SNOTEL:939_CO_SNTL,3.8
SNOTEL:941_WA_SNTL,0.0
SNOTEL:942_WA_SNTL,20.7
SNOTEL:945_OR_SNTL,0.0
SNOTEL:972_UT_SNTL,1.2
SNOTEL:974_WA_SNTL,42.2
SNOTEL:975_WA_SNTL,16.1
SNOTEL:976_OR_SNTL,-9999.0
SNOTEL:978_ID_SNTL,16.3
SNOTEL:981_MT_SNTL,5.0
SNOTEL:982_WY_SNTL,3.4
SNOTEL:984_WA_SNTL,10.2
SNOTEL:988_ID_SNTL,33.4
SNOTEL:989_ID_SNTL,11.7
SNOTEL:990_WA_SNTL,44.1
SNOTEL:991_WA_SNTL,-9999.0
SNOTEL:992_UT_SNTL,3.3
SNOTEL:994_WA_SNTL,-9999.0
SNOTEL:995_WA_SNTL,-9999.0
SNOTEL:996_WA_SNTL,-9999.0
SNOTEL:998_WA_SNTL,107.2
SNOTEL:999_WA_SNTL,62.3
